SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
21	VFG002260	49476222	trwJ1__1	Trw type IV secretion sysmtem minor pilin subunit VirB5 homolog, trwJ1 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
22	VFG002247	49476027	bepF__1	Bartonella effector protein BepF	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
23	VFG002245	49476025	bepD__1	Bartonella effector protein BepD	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
24	VFG002234	49476013	virB5__4	17-kDa antigen precursor VirB5	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
25	VFG002258	49476220	trwM	Trw type IV secretion sysmtem trwM protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
26	VFG002256	49476218	trwL7__1	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL7 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
27	VFG002251	49476213	trwL2	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL2 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
28	VFG002252	49476214	trwL3	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL3 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
29	VFG002250	49476212	trwL1	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL1 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
30	VFG002254	49476216	trwL5	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL5 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
31	VFG002246	49476026	bepE__1	Bartonella effector protein BepE	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
32	VFG002253	49476215	trwL4	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL4 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
33	VFG002262	49476224	trwH1__2	Trw type IV secretion sysmtem trwH1 protein required for pilus anchorage to the outer membrane	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
34	VFG002265	49476227	trwH2__1	Trw type IV secretion sysmtem trwH2 protein required for pilus anchorage to the outer membrane	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
35	VFG002255	49476217	trwL6	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL6 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
36	VFG002242	49476022	virD4__5	VirD4, type IV coupling protein	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
37	VFG002244	49476024	bepC	Bartonella effector protein BepC	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
38	VFG002259	49476221	trwK	Trw type IV secretion sysmtem VirB4-like trwK protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
39	VFG002239	49476018	virB10__5	type IV secretion system virB10 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
40	VFG002232	49476011	virB3__4	type IV secretion system virB3 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
41	VFG002240	49476019	virB11__2	type IV secretion system virB11 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
42	VFG002243	49476023	bepB	Bartonella effector protein BepB	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
43	VFG002241	49476021	bepA	Bartonella effector protein BepA	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
44	VFG002238	49476017	virB9__5	type IV secretion system virB9 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
45	VFG002263	49476225	trwJ2__3	Trw type IV secretion sysmtem minor pilin subunit VirB5 homolog, trwJ2 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
46	VFG002235	49476014	virB6__3	type IV secretion system virB6 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
47	VFG002233	49476012	virB4__5	type IV secretion system virB4 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
48	VFG002269	49476231	trwD	Trw type IV secretion sysmtem VirB11 homolog, trwD protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
49	VFG002231	49476010	virB2__3	type IV secretion system major pilin subunit VirB2 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
50	VFG002249	49476210	trwN__1	Trw type IV secretion sysmtem trwN protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
51	VFG002266	49476228	trwG	Trw type IV secretion sysmtem VirB8 homolog, trwG protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
52	VFG002236	49476015	virB7__1	15-kDa antigen protein VirB7	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
53	VFG001271	33591937	cyaE	cyclolysin secretion protein	Cya	VF0028	Bordetella pertussis Tohama I	Toxin
54	VFG000049	33593245	bscL	Bordetella Bsc type III secretion system protein BscL	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
55	VFG000019	33594646	ptlD	Ptl Type IV secretion system VirB6 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
56	VFG000039	33593235	bscC__1	Bordetella Bsc type III secretion system protein BscC	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
57	VFG000067	33593263	bscF	putative type III secretion protein	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
58	VFG000007	33592928	fimB__2	chaperone protein	Fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
59	VFG000026	33594321	dnt__1	dermonecrotic toxin	Dermonecrotic toxin (DNT)	VF0029	Bordetella pertussis Tohama I	Toxin
60	VFG000047	33593243	bscO	Bordetella Bsc type III secretion system protein BscO	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
61	VFG042075	33591707	btcA	chaperone for BteA	T3SS	SS038	Bordetella pertussis Tohama I	Secretion system
62	VFG000010	33592330	tcfA__1	tracheal colonization factor precursor	TcfA	VF0032	Bordetella pertussis Tohama I	Adherence
63	VFG000053	33593249	bcr4	Bordetella Bsc type III secretion system protein Bcr4	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
64	VFG000042	33593238	bscT__1	Bordetella Bsc type III secretion system protein BscT	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
65	VFG000020	33594647	ptlI	Ptl Type IV secretion system outer membrane complex protein PtlI	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
66	VFG000032	33591345	bplG	probable sugar transferase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
67	VFG000008	33592929	fimC__1	outer membrane usher protein precursor	type 2 and 3 fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
68	VFG000015	33594642	ptxC	pertussis toxin subunit 3 precursor	Pertussis toxin (PT)	VF0026	Bordetella pertussis Tohama I	Toxin
69	VFG000023	33594650	ptlG	Ptl Type IV secretion system VirB10 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
70	VFG000003	33592254	fim2	serotype 2 fimbrial subunit precursor	type 2 and 3 fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
71	VFG000158	33591933	cyaC	cyclolysin-activating lysine-acyltransferase	Cya	VF0028	Bordetella pertussis Tohama I	Toxin
72	VFG000013	33594640	ptxD	pertussis toxin subunit 4 precursor	Pertussis toxin (PT)	VF0026	Bordetella pertussis Tohama I	Toxin
73	VFG011087	33591708	bopC/bteA	Bordetella Bsc type III secretion system secreted protein BteA	T3SS	SS038	Bordetella pertussis Tohama I	Secretion system
74	VFG000031	33591344	bplH	putative glycosyl transferase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
75	VFG000022	33594649	ptlF	Ptl Type IV secretion system outer membrane complex protein PtlF	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
76	VFG000030	33591343	bplI	lipopolysaccharide biosynthesis protein	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
77	VFG000051	33593247	bscJ	Bordetella Bsc type III secretion system protein BscJ	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
78	VFG000024	33594651	ptlH	Ptl Type IV secretion system VirB11 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
79	VFG000034	33591347	bplE	probable glycosyl transferase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
80	VFG000052	33593248	bscI	Bordetella Bsc type III secretion system protein BscI	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
81	VFG000002	33592195	prn	pertactin precursor	Pertactin	VF0027	Bordetella pertussis Tohama I	Adherence
82	VFG000016	33594643	ptlA	Ptl Type IV secretion system VirB2 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
83	VFG000046	33593242	bscP	Bordetella Bsc type III secretion system protein BscP	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
84	VFG000018	33594645	ptlC	Ptl Type IV secretion system VirB4 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
85	VFG000045	33593241	bscQ__1	Bordetella Bsc type III secretion system protein BscQ	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
86	VFG000001	33592927	fhaB__1	filamentous hemagglutinin/adhesin	Filamentous hemagglutinin (FHA)	VF0025	Bordetella pertussis Tohama I	Adherence
87	VFG000009	33592930	fimD__4	fimbrial adhesin	type 2 and 3 fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
88	VFG000021	33594648	ptlE	Ptl Type IV secretion system VirB8 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
89	VFG000012	33594639	ptxB	pertussis toxin subunit 2 precursor	Pertussis toxin (PT)	VF0026	Bordetella pertussis Tohama I	Toxin
90	VFG000035	33591348	bplD	UDP-N-acetylglucosamine 2-epimerase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
91	VFG000057	33593253	bcrH1	putative regulatory protein	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
92	VFG000033	33591346	bplF	lipopolysaccharide biosynthesis protein	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
93	VFG042070	33593233	btrU/bspR	Bordetella Bsc type III secretion system secreted regulator	T3SS	SS038	Bordetella pertussis Tohama I	Secretion system
94	VFG000005	33593643	fimX__2	fimbrial protein	type 2 and 3 fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
95	VFG000058	33593254	btc22	chaperone for Bsp22	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
96	VFG000036	33591349	bplC	lipopolysaccharide biosynthesis protein	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
97	VFG000025	33591934	cyaA	bifunctional hemolysin-adenylate cyclase precursor	Adenylate cyclase	VF0028	Bordetella pertussis Tohama I	Toxin
98	VFG000014	33594641	ptxE	pertussis toxin subunit 5 precursor	Pertussis toxin (PT)	VF0026	Bordetella pertussis Tohama I	Toxin
99	VFG000043	33593239	bscS__2	Bordetella Bsc type III secretion system protein BscS	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
100	VFG000011	33594638	ptxA	pertussis toxin subunit 1 precursor	Pertussis toxin (PT)	VF0026	Bordetella pertussis Tohama I	Toxin
101	VFG000017	33594644	ptlB	Ptl Type IV secretion system VirB3 homolog protein PtlA	Ptl type IV secretion system	VF0026	Bordetella pertussis Tohama I	Toxin
102	VFG000028	33594368	brkB	serum resistance protein	Brk	VF0034	Bordetella pertussis Tohama I	Serum resistance
103	VFG000055	33593251	bopB	Bordetella Bsc type III secretion system secreted protein BopB, complexed with BopB for pore formation on the host plasma membrane	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
104	VFG000048	33593244	bscN	ATP synthase in type III secretion system	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
105	VFG001270	33591936	cyaD	cyclolysin secretion protein	Cya	VF0028	Bordetella pertussis Tohama I	Toxin
106	VFG000044	33593240	bscR__1	Bordetella Bsc type III secretion system protein BscR	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
107	VFG000041	33593237	bscU	Bordetella Bsc type III secretion system protein BscU	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
108	VFG000059	33593255	bsp22__2	Bordetella Bsc type III secretion system secreted protein Bsp22, tip complex protein	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
109	VFG000004	33592658	fim3	serotype 3 fimbrial subunit precursor	type 2 and 3 fimbriae	VF0031	Bordetella pertussis Tohama I	Adherence
110	VFG000038	33591351	bplA	probable oxidoreductase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
111	VFG000066	33593262	bscE	Bordetella Bsc type III secretion system protein BscE	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
112	VFG000056	33593252	bopD__2	Bordetella Bsc type III secretion system secreted protein BopD, complexed with BopD for pore formation on the host plasma membrane	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
113	VFG000040	33593236	bscW	Bordetella Bsc type III secretion system protein BscW	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
114	VFG001272	33592931	fhaC	hemolysin activator-like protein	FHA	VF0025	Bordetella pertussis Tohama I	Adherence
115	VFG000050	33593246	bscK	Bordetella Bsc type III secretion system protein BscK	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
116	VFG000029	33591342	bplL	lipopolysaccharide biosynthesis protein	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
117	VFG000060	33593256	bopN	Bordetella Bsc type III secretion system secreted protein BopN	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
118	VFG000064	33593260	bcrD	Type III secretion system LcrD homolog protein BcrD	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
119	VFG001269	33591935	cyaB	cyclolysin secretion ATP-binding protein	Cya	VF0028	Bordetella pertussis Tohama I	Toxin
120	VFG000065	33593261	bscD__1	putative type III secretion protein	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
121	VFG000037	33591350	bplB	probable acetyltransferase	LPS	VF0033	Bordetella pertussis Tohama I	Endotoxin
122	VFG000054	33593250	bcrH2	putative regulatory protein	T3SS	VF0035	Bordetella pertussis Tohama I	Secretion system
123	VFG000027	33594369	brkA	serum resistance protein	Brk	VF0034	Bordetella pertussis Tohama I	Serum resistance
124	VFG011394	17987114	lpxD__2	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
125	VFG002230	17987701	wbkC	GDP-mannose 4,6-dehydratase / GDP-4-amino-4,6-dideoxy-D-mannose formyltransferase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
126	VFG011444	17987281	wboA	glycosyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
127	VFG002215	17988376	virB8__2	type IV secretion system protein VirB8	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
128	VFG011419	17987398	htrB__2	lipid A biosynthesis lauroyl acyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
129	VFG002211	17988372	virB4__1	type IV secretion system protein ATPase VirB4	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
130	VFG002228	17987699	wzt	O-antigen export system ATP-binding protein	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
131	VFG002229	17987700	wbkB	perosamine synthetase WbkB	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
132	VFG002221	17987677	manAoAg	mannose-6-phosphate isomerase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
133	VFG011505	17987609	lpsA__1	glycosyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
134	VFG002212	17988373	virB5__1	type IV secretion system protein VirB5	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
135	VFG002225	17987696	gmd	GDP-mannose 4,6-dehydratase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
136	VFG002214	17988375	virB7__3	type IV secretion system protein VirB7	VirB type IV secretion system	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
137	VFG002209	17988370	virB2__4	type IV secretion system protein VirB2	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
138	VFG002216	17988377	virB9__4	type IV secretion system channel protein VirB9	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
139	VFG011389	17986869	lpxC__3	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
140	VFG011409	17987118	lpxB__1	lipid-A-disaccharide synthase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
141	VFG011515	17987280	wbdA	mannosyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
142	VFG045466	23501622	btpB	Tir domain containing protein BtpB	BtpB	VF0522	Brucella suis 1330	Immune evasion and molecular mimicry
143	VFG002217	17988378	virB10__9	type IV secretion system channel protein VirB10	VirB type IV secretion system	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
144	VFG002219	17988120	cgs	cyclic beta 1-2 glucan synthetase	C<beta>G	VF0366	Brucella melitensis bv. 1 str. 16M	Intracellular survival
145	VFG011453	17987676	wbpZ	mannosyltransferase C	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
146	VFG045340	17987019	ricA	Rab2 interacting conserved protein A	RicA	VF0414	Brucella melitensis bv. 1 str. 16M	Intracellular survival
147	VFG011439	17987495	lpxE	phosphatidylglycerophosphatase B	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
148	VFG002222	17987678	manCoAg	mannose-1-phosphate guanylyltransferase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
149	VFG011519	17987709	wbpL__1	undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
150	VFG002224	17987687	wbkA	mannosyltransferase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
151	VFG002223	17987679	pmm	phosphomannomutase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
152	VFG002227	17987698	wzm__3	O-antigen export system permease protein	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
153	VFG041369	17988380	virB12	type IV secretion system protein VirB12	VirB	SS043	Brucella melitensis bv. 1 str. 16M	Secretion system
154	VFG011399	17987115	fabZ	(3R)-hydroxymyristoyl ACP dehydratase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
155	VFG002220	17988169	pgm	phosphoglucomutase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
156	VFG011430	17987758	acpXL__2	acyl carrier protein	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
157	VFG045465	17987957	btpA	Tir domain containing protein BtpA	BtpA/Btp1/TcpB	VF0412	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
158	VFG011404	17987116	lpxA__1	UDP-N-acetylglucosamine acyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
159	VFG002218	17988379	virB11__1	type IV secretion system protein ATPase VirB11	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
160	VFG011429	17987394	acpXL__1	acyl carrier protein	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
161	VFG011510	17986792	lpsB/lpcC	Lipopolysaccharide core biosynthesis mannosyltransferase LpcC	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
162	VFG002210	17988371	virB3__1	type IV secretion system protein VirB3	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
163	VFG011424	17988187	kdsB__1	3-deoxy-manno-octulosonate cytidylyltransferase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
164	VFG002213	17988374	virB6__1	type IV secretion system channel protein VirB6	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
165	VFG002208	17988369	virB1__4	type IV secretion system attachment mediating protein VirB1 Homolog	T4SS	VF0365	Brucella melitensis bv. 1 str. 16M	Secretion system
166	VFG011414	17987133	kdsA__3	2-dehydro-3-deoxyphosphooctonate aldolase	LPS	CVF383	Brucella melitensis bv. 1 str. 16M	Immune evasion and molecular mimicry
167	VFG002226	17987697	per__1	perosamine synthetase	LPS	VF0367	Brucella melitensis bv. 1 str. 16M	Intracellular survival
168	VFG002477	53722521	tssE-5	Type VI secretion system protein TssC	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
169	VFG002452	53722555	bsaZ	YscU homolog, component of the inner membrane ring	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
170	VFG002454	53722557	bsaX	Type III secretion system protein BsaX	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
171	VFG002556	53720406	wcbK	GDP sugar epimerase/dehydratase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
172	VFG002431	53722619	pilR__7	type IV pilus biosynthesis protein PilR	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
173	VFG002546	53720396	wcbT	acyl-CoA transferase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
174	VFG002545	53720395	BPSL2786	acetyltransferase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
175	VFG002455	53722558	spaP__2	surface presentation of antigens protein SpaP	T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
176	VFG002498	53717868	fliJ__2	flagellar protein FliJ	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
177	VFG002549	53720399	wcbQ	capsular polysaccharide biosynthesis transmembrane protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
178	VFG002478	53722522	tssF-5	Type VI secretion system protein TssD	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
179	VFG002448	53722551	bprA	HNS-like regulatory protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
180	VFG002520	53720902	flhG__4	flagellar biosynthesis protein FlhG	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
181	VFG002487	53722531	tssK-5	Type VI secretion system protein TssI	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
182	VFG002512	53717915	flgF__3	flagellar basal body rod protein FlgF	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
183	VFG002502	53717872	fliF__1	flagellar M-ring protein FliF	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
184	VFG002453	53722556	bsaY	Type III secretion system protein BsaY	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
185	VFG002523	53720905	flhB__2	flagellar biosynthesis protein FlhB	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
186	VFG002475	53722519	tssC-5	Type VI secretion system protein TssB	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
187	VFG002538	53721911	pmlR/bspR1	N-acylhomoserine lactone dependent regulatory protein	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
188	VFG002554	53720404	gmhA__1	phosphoheptose isomerase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
189	VFG002565	53720415	wcbD__1	capsule polysaccharide export ABC transporter transmembrane protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
190	VFG002485	53722529	tagD-5	Type VI secretion system protein TssG	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
191	VFG002496	53717671	fliR__4	flagellar biosynthetic protein FliR	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
